feature,missing_train,nunique_train,variance_train,excluded_reason,candidate_keep,used_in_primary_encoder
condsexl,0.6870672601384767,5,3.422310748418875,,True,False
constat1,0.0,30,256.99340187993886,endpoint_direct,False,False
constat1_i,0.0,3,0.02768210809381196,endpoint_direct,False,False
constat2,0.0,21,506.0758785202036,endpoint_direct,False,False
constat2_i,0.0,3,0.007952610159956096,endpoint_direct,False,False
constat3,0.0,15,54.56001201237699,endpoint_direct,False,False
constat3_i,0.0,3,0.004010807699539989,endpoint_direct,False,False
constat4,0.0,3,2.87210697398172,endpoint_direct,False,False
constat4_i,0.0,3,0.003024134061643406,endpoint_direct,False,False
contagem,0.9858432245301681,2,3.3261319236957028,,False,False
cpeduc,0.8670870425321464,7,2.2738675641455734,,True,False
cpengag1,0.8670870425321464,5,1.7591403248671638,,True,False
cpherage,0.9919634025717112,26,352.7287418008348,,False,False
cphisage,0.8670870425321464,51,90.67286872206651,,True,False
cpkidliv,0.9551805143422354,2,3.2300552486187852,,False,False
cpkids,0.8670870425321464,4,3.643320527665653,,True,False
cpmarbef,0.8670870425321464,3,2.9244399233824274,,True,False
curr_ins,0.0,4,1.2557186558367999,,True,False
curr_ins_i,0.0,2,0.010339063959505717,,True,False
currmeth1,0.12079624134520277,24,38.42777006036191,endpoint_direct,False,False
currmeth2,0.9072700296735905,22,22.105799866577723,endpoint_direct,False,False
currmeth3,0.9899851632047477,17,25.405452035886817,endpoint_direct,False,False
currmeth4,0.9995672601384767,4,20.0,endpoint_direct,False,False
currpreg,0.0,2,0.6516108891834336,,True,False
dateuse1,0.14880069238377844,558,91212639.74231368,,True,True
dateuse1_i,0.0,3,0.01639374913050724,,True,False
diabetes,0.0,5,0.9583071797553036,,True,False
durfster,0.9588278931750742,6,2.6771997561471244,,False,False
educmom,0.0,5,87.109714989826,,True,True
educmom_i,0.0,2,0.012332457343258166,,True,False
endo,0.0,4,0.7866651034906598,,True,False
evcontag,0.6631429277942631,2,1.0381783398535451,,True,False
eversex,0.7305885262116716,3,4.069776571342681,,True,False
everused,0.0,3,1.704578661004071,,True,False
evhivtst,0.0,4,1.2300280225097344,,True,False
evrcohab,0.0,2,3.9664888697281975,,True,False
evrmarry,0.0,2,0.24448430097367904,,True,False
fecund,0.0,6,3.5253735340925254,endpoint_direct,False,False
fecund_i,0.0,2,0.0007417480359018337,endpoint_direct,False,False
femsex,0.14725519287833827,5,0.7837183688258551,,True,False
firsmeth1,0.12067260138476756,25,21.60740389977355,endpoint_direct,False,False
firsmeth2,0.9388600395647874,18,14.142275557447713,endpoint_direct,False,False
firsmeth3,0.9927052423343224,17,26.767854555990148,endpoint_direct,False,False
firsmeth4,0.9984545004945599,11,45.973333333333336,endpoint_direct,False,False
fmar1age,0.5743694362017804,33,22.959370829055576,,True,False
fmar1age_i,0.0,2,0.002528351197109998,,True,False
fmarit,0.0,6,3.2269925066922287,,True,False
fmarital,0.0,5,3.223006981166978,,True,False
fmarno,0.0,7,0.4165592241143404,,True,False
fpeduc,0.9629080118694362,7,1.73968836950473,,False,False
fptithiv,0.7548219584569733,12,8.885976703620116,,True,False
fptithiv_i,0.0,3,0.038166872287373664,,True,False
genwarts,0.0,5,1.4187504949420364,,True,False
gestdiab,0.9397873392680515,3,3.858107295331233,endpoint_direct,False,False
hadsex,0.0,2,0.12122341645301984,,True,False
has_pregnancy_record,0.0,2,0.23735564126906966,,True,False
herpes,0.0,5,0.6199978558881666,,True,False
hhkids18,0.0,6,1.484850198817643,,True,False
hhkidtyp,0.0,3,0.29749135093568885,,True,False
hhpartyp,0.0,4,1.0876956530712396,,True,False
hieduc,0.0,11,5.500300920936162,,True,False
hieduc_i,0.0,3,0.0027792848985731906,,True,False
hisp,0.0,4,2.9623499007058367,,True,False
hispanic,0.0,2,0.18463534811050625,,True,False
hispanic_i,0.0,3,0.0011741897856193922,,True,False
hispgrp,0.755811078140455,3,0.4139121264476506,,True,False
hisprace2,0.0,4,0.8138884633788758,,True,False
hisprace2_i,0.0,2,0.0014832208916753422,,True,False
hivtest,0.0,4,4.062228955217492,,True,False
hivtst,0.37543273986152326,15,22.09801585737778,,True,False
hlpmc,0.078202274975272,4,0.7641442242078315,endpoint_direct,False,False
hlpprg,0.078202274975272,4,1.1217154535646134,endpoint_direct,False,False
hppregq,0.9067754698318496,5,4.5814400173197045,,True,False
infert,0.5636745796241345,3,0.7556816126209953,endpoint_direct,False,False
infert_i,0.0,3,0.004258102908195322,endpoint_direct,False,False
iud_12,0.12067260138476756,2,1.4081438776069466,,True,False
iudtype,0.9238996043521266,4,0.5486015071361112,,True,False
laborfor,0.0,9,6.838253339998808,,True,False
laborfor_i,0.0,2,0.00030902346216349667,,True,False
lbpregs,0.4000989119683482,13,1.5145851471302805,,True,False
lsexdate,0.14113501483679525,265,1101.5649485851816,,True,True
lsexdate_i,0.0,3,0.007568366974104021,,True,False
lsexrage,0.14113501483679525,35,59.25672872813523,,True,False
lstmonmeth1,0.12085806132542037,23,38.07793929284468,endpoint_direct,False,False
lstmonmeth2,0.8916295746785361,21,19.637620569565023,endpoint_direct,False,False
lstmonmeth3,0.9875741839762612,17,28.92363184079602,endpoint_direct,False,False
lstmonmeth4,0.9990108803165183,8,35.69583333333333,endpoint_direct,False,False
lstsexfp_m,0.14113501483679525,19,993.7061145455222,,True,True
lstsexfp_y,0.22929030662710187,42,1398265.0749894627,,True,True
mainnouse,0.9917779426310583,9,73.15345181134653,,False,False
manrel,0.5832096933728981,2,0.2102326487724758,,True,False
mar1bir1,0.37846191889218594,244,183934.01161436393,,True,True
mar1con1,0.3348788328387735,224,215217.42144046217,,True,True
mar1diss,0.5743694362017804,306,4641.0707355040495,,True,True
marcon10,0.9975272007912958,3,3.5634615384615382,,False,False
marcon11,0.9984545004945599,4,3.4066666666666667,,False,False
marcon12,0.9990108803165183,4,3.0,,False,False
marcon13,0.999381800197824,3,2.9000000000000004,,False,False
marcon14,0.9995054401582592,3,3.0714285714285716,,False,False
mardat01,0.5743694362017804,398,127228.65800958473,,True,True
mardat01_i,0.0,2,0.002528351197109998,,True,False
mardat02,0.9385509396636993,270,106620.19183479527,,True,False
mardat02_i,0.0,3,0.0006798745484370532,,True,False
mardis01,0.8353733926805144,345,113063.21503007656,,True,False
mardis01_i,0.0,3,0.0051765509839982755,,True,False
mardis02,0.9762611275964391,178,96787.63835400349,,False,False
mardis02_i,0.0,3,0.001112079337488553,,True,False
marend01,0.8353733926805144,3,0.2588797199455036,,True,False
marend01_i,0.0,2,0.0004943458127521529,,True,False
marend02,0.9762611275964391,3,0.27392705613577023,,False,False
marend02_i,0.0,2,6.181998021760633e-05,,True,False
marout10,0.9975890207715133,3,3.620782726045884,,False,False
marout11,0.9985163204747775,4,3.130434782608696,,False,False
marout12,0.9990108803165183,4,3.0,,False,False
marout13,0.999381800197824,3,2.9000000000000004,,False,False
marout14,0.9995054401582592,3,3.0714285714285716,,False,False
marstat,0.0,8,5.136723334663372,,True,False
menarche,0.0,23,34.91773263804488,,True,False
meth12m1,0.3981206726013848,22,28.84460908191985,endpoint_direct,False,False
meth12m1_i,0.0,3,0.003210924039583133,endpoint_direct,False,False
meth12m2,0.893051434223541,22,23.04494896645794,endpoint_direct,False,False
meth12m2_i,0.0,3,0.0019141491506871101,endpoint_direct,False,False
meth12m3,0.9919634025717112,15,26.089206917113888,endpoint_direct,False,False
meth12m3_i,0.0,3,0.0017288650195607205,endpoint_direct,False,False
meth12m4,0.9996909000989119,2,30.0,endpoint_direct,False,False
meth12m4_i,0.0,3,0.0017288650195607205,endpoint_direct,False,False
meth3m1,0.47088278931750743,21,29.525104507401593,endpoint_direct,False,False
meth3m1_i,0.0,3,0.0022217432049618045,endpoint_direct,False,False
meth3m2,0.9106083086053413,22,22.971869900022497,endpoint_direct,False,False
meth3m2_i,0.0,2,0.0018512743133109204,endpoint_direct,False,False
meth3m3,0.9930143422354105,15,25.400758533501897,endpoint_direct,False,False
meth3m3_i,0.0,2,0.0018512743133109204,endpoint_direct,False,False
meth3m4,0.9998145400593472,2,33.33333333333333,endpoint_direct,False,False
meth3m4_i,0.0,2,0.0018512743133109204,endpoint_direct,False,False
methdiss,0.11201780415430267,4,4.006188430920107,endpoint_direct,False,False
methstop01,0.5801805143422354,21,51.28868364935052,endpoint_direct,False,False
methstop02,0.8507047477744807,21,65.77020280249269,endpoint_direct,False,False
methstop03,0.9449802176063303,20,65.04740966367967,endpoint_direct,False,False
methstop04,0.9807739861523245,18,59.49386993050514,endpoint_direct,False,False
methstop05,0.993570722057369,17,45.727315160567585,endpoint_direct,False,False
methstop06,0.9972181008902077,12,50.77272727272727,endpoint_direct,False,False
methstop07,0.9990727002967359,11,49.4952380952381,endpoint_direct,False,False
methstop08,0.9996290801186943,4,11.366666666666667,endpoint_direct,False,False
methstop09,0.9998763600395648,2,24.5,endpoint_direct,False,False
methx1,0.23318496538081107,23,48.00007623167388,endpoint_direct,False,False
methx10,0.920066765578635,19,20.139693610989394,endpoint_direct,False,False
methx100,0.9991345202769535,9,25.17032967032967,endpoint_direct,False,False
methx101,0.16085558852621168,25,45.04836143475586,endpoint_direct,False,False
methx102,0.9094337289812068,20,20.781115835804474,endpoint_direct,False,False
methx103,0.9890578635014837,17,21.453068823831533,endpoint_direct,False,False
methx104,0.9990108803165183,8,24.516666666666666,endpoint_direct,False,False
methx105,0.1591864490603363,25,44.94572397358325,endpoint_direct,False,False
methx106,0.9104846686449061,20,18.456549462213683,endpoint_direct,False,False
methx107,0.9896760633036598,17,18.332948560709905,endpoint_direct,False,False
methx108,0.9991345202769535,9,27.956043956043956,endpoint_direct,False,False
methx109,0.15714638971315528,24,43.02643979989662,endpoint_direct,False,False
methx11,0.9914688427299704,15,22.40711943298424,endpoint_direct,False,False
methx110,0.9091864490603363,22,19.199812473220398,endpoint_direct,False,False
methx111,0.9899851632047477,17,24.022429261559697,endpoint_direct,False,False
methx112,0.9989490603363007,8,22.860294117647058,endpoint_direct,False,False
methx113,0.15436449060336302,24,42.98400669044836,endpoint_direct,False,False
methx114,0.9071463897131553,22,20.360218354208598,endpoint_direct,False,False
methx115,0.9897997032640949,18,22.85528455284553,endpoint_direct,False,False
methx116,0.9990727002967359,7,23.17142857142857,endpoint_direct,False,False
methx117,0.15059347181008903,23,43.65153371870448,endpoint_direct,False,False
methx118,0.9065281899109793,22,19.639782687102347,endpoint_direct,False,False
methx119,0.9894906033630069,16,27.23247476505395,endpoint_direct,False,False
methx12,0.9995672601384767,4,38.285714285714285,endpoint_direct,False,False
methx120,0.9993199802176064,8,24.418181818181818,endpoint_direct,False,False
methx121,0.1476261127596439,25,43.733526986873876,endpoint_direct,False,False
methx122,0.9052917903066271,22,19.62447281849608,endpoint_direct,False,False
methx123,0.9893669634025717,15,26.596593227254186,endpoint_direct,False,False
methx124,0.999381800197824,8,16.98888888888889,endpoint_direct,False,False
methx125,0.144473293768546,25,42.4039174788974,endpoint_direct,False,False
methx126,0.9036226508407518,22,20.54587590708965,endpoint_direct,False,False
methx127,0.988068743818002,17,25.451424870466315,endpoint_direct,False,False
methx128,0.9991345202769535,8,24.681318681318682,endpoint_direct,False,False
methx129,0.14230959446092978,25,43.89886266302085,endpoint_direct,False,False
methx13,0.2257047477744807,24,50.31527729593512,endpoint_direct,False,False
methx130,0.9049208704253214,22,20.562513484038707,endpoint_direct,False,False
methx131,0.9879451038575667,17,24.804017975151996,endpoint_direct,False,False
methx132,0.9991963402571711,8,24.666666666666668,endpoint_direct,False,False
methx133,0.13915677546983185,25,43.54172973881812,endpoint_direct,False,False
methx134,0.9041172106824926,22,21.084484931677792,endpoint_direct,False,False
methx135,0.9873887240356083,16,29.166232010045395,endpoint_direct,False,False
methx136,0.9987636003956478,6,30.365789473684213,endpoint_direct,False,False
methx137,0.13643669634025718,25,43.739937371140165,endpoint_direct,False,False
methx138,0.9012116716122651,22,21.39945752478638,endpoint_direct,False,False
methx139,0.9889342235410484,16,21.792856694495008,endpoint_direct,False,False
methx14,0.9210558852621167,19,19.383223316796077,endpoint_direct,False,False
methx140,0.9991345202769535,8,38.879120879120876,endpoint_direct,False,False
methx141,0.13421117705242333,25,43.54886850811534,endpoint_direct,False,False
methx142,0.898553412462908,22,21.34983056137691,endpoint_direct,False,False
methx143,0.9878832838773491,16,22.674620617477757,endpoint_direct,False,False
methx144,0.9991345202769535,6,22.0,endpoint_direct,False,False
methx145,0.13149109792284866,25,39.41845091561247,endpoint_direct,False,False
methx146,0.9006552917903067,21,23.080307899514963,endpoint_direct,False,False
methx147,0.9878214638971315,16,29.3404641044235,endpoint_direct,False,False
methx148,0.9991345202769535,6,27.516483516483518,endpoint_direct,False,False
methx149,0.2062314540059347,25,39.823715926867095,endpoint_direct,False,False
methx15,0.9912833827893175,15,23.907700101317122,endpoint_direct,False,False
methx150,0.9073318496538081,20,21.967387247929423,endpoint_direct,False,False
methx151,0.9892433234421365,15,26.392133413062254,endpoint_direct,False,False
methx152,0.9990108803165183,9,35.02916666666667,endpoint_direct,False,False
methx153,0.2861028684470821,25,40.38857933040877,endpoint_direct,False,False
methx154,0.9179030662710188,19,22.909429163526752,endpoint_direct,False,False
methx155,0.9899851632047477,16,25.692968330649492,endpoint_direct,False,False
methx156,0.9992581602373887,8,20.992424242424246,endpoint_direct,False,False
methx157,0.35113748763600394,23,39.915125515271505,endpoint_direct,False,False
methx158,0.9266196834817013,19,22.145329319454294,endpoint_direct,False,False
methx159,0.9915924826904056,16,25.849891067538127,endpoint_direct,False,False
methx16,0.9994436201780416,5,37.25000000000001,endpoint_direct,False,False
methx160,0.9995054401582592,6,45.714285714285715,endpoint_direct,False,False
methx161,0.4303288822947577,23,39.44300554218079,endpoint_direct,False,False
methx162,0.9358308605341247,18,20.896613359643112,endpoint_direct,False,False
methx163,0.9929525222551929,14,31.34389070020183,endpoint_direct,False,False
methx164,0.9994436201780416,6,24.25,endpoint_direct,False,False
methx165,0.5159495548961425,22,41.70645740767657,endpoint_direct,False,False
methx166,0.9455984174085065,18,21.658697900506773,endpoint_direct,False,False
methx167,0.9944980217606331,14,28.763534218590394,endpoint_direct,False,False
methx168,0.9998763600395648,2,4.5,endpoint_direct,False,False
methx169,0.5810459940652819,22,43.137001384466075,endpoint_direct,False,False
methx17,0.22304648862512363,24,49.291823217750185,endpoint_direct,False,False
methx170,0.9536968348170128,18,20.747981265573348,endpoint_direct,False,False
methx171,0.9942507418397626,14,32.77092099111734,endpoint_direct,False,False
methx172,0.9996909000989119,3,2.3,endpoint_direct,False,False
methx173,0.6668521266073195,22,42.104468766492495,endpoint_direct,False,False
methx174,0.9612388724035609,15,20.971475304584438,endpoint_direct,False,False
methx175,0.9952398615232443,13,31.670881749829118,endpoint_direct,False,False
methx176,0.9996909000989119,4,30.3,endpoint_direct,False,False
methx177,0.7486399604352126,22,39.25685070869401,endpoint_direct,False,False
methx178,0.9697082096933729,17,20.489211635574474,endpoint_direct,False,False
methx179,0.996538081107814,10,38.758441558441554,endpoint_direct,False,False
methx18,0.9205613254203758,18,18.93428609525195,endpoint_direct,False,False
methx180,0.9996909000989119,5,54.5,endpoint_direct,False,False
methx181,0.7877101879327398,22,41.00405244856146,endpoint_direct,False,False
methx182,0.9750865479723047,17,16.168215992000295,endpoint_direct,False,False
methx183,0.9968471810089021,12,35.83372549019608,endpoint_direct,False,False
methx184,0.9997527200791295,3,38.0,endpoint_direct,False,False
methx185,0.8739490603363007,19,39.75580161338685,endpoint_direct,False,False
methx186,0.9856577645895154,13,15.831243469174504,endpoint_direct,False,False
methx187,0.9977744807121661,11,32.857142857142854,endpoint_direct,False,False
methx188,0.9998763600395648,1,0.0,endpoint_direct,False,False
methx189,0.9611770524233432,14,45.60179146476498,endpoint_direct,False,False
methx19,0.9910361028684471,15,20.978735632183902,endpoint_direct,False,False
methx190,0.9962908011869436,10,24.707344632768365,endpoint_direct,False,False
methx191,0.9995054401582592,6,32.5,endpoint_direct,False,False
methx192,1.0,0,0.0,endpoint_direct,False,False
methx2,0.9234050445103857,19,19.693778269775642,endpoint_direct,False,False
methx20,0.999381800197824,6,32.72222222222222,endpoint_direct,False,False
methx21,0.21952274975272007,24,49.41432402213606,endpoint_direct,False,False
methx22,0.9188921859545005,18,18.71913022548418,endpoint_direct,False,False
methx23,0.9910361028684471,15,24.268007662835245,endpoint_direct,False,False
methx24,0.9994436201780416,6,46.77777777777777,endpoint_direct,False,False
methx25,0.2148862512363996,24,49.68042163404274,endpoint_direct,False,False
methx26,0.9169139465875371,19,18.790389652696526,endpoint_direct,False,False
methx27,0.990727002967359,16,26.732035794183446,endpoint_direct,False,False
methx28,0.9990727002967359,9,37.209523809523816,endpoint_direct,False,False
methx29,0.21241345202769535,24,49.330523098513424,endpoint_direct,False,False
methx3,0.991530662710188,15,26.922391584370978,endpoint_direct,False,False
methx30,0.9182121661721068,19,18.836584894505794,endpoint_direct,False,False
methx31,0.9917779426310583,16,23.544543176122122,endpoint_direct,False,False
methx32,0.9992581602373887,7,28.446969696969703,endpoint_direct,False,False
methx33,0.20975519287833827,24,50.043287313663356,endpoint_direct,False,False
methx34,0.9179030662710188,20,16.199905121616833,endpoint_direct,False,False
methx35,0.9910979228486647,17,22.64257964257964,endpoint_direct,False,False
methx36,0.9989490603363007,10,32.26470588235294,endpoint_direct,False,False
methx37,0.2068496538081108,24,50.55584012425085,endpoint_direct,False,False
methx38,0.9179030662710188,19,17.41981641713803,endpoint_direct,False,False
methx39,0.9910361028684471,16,24.781896551724138,endpoint_direct,False,False
methx4,0.9993199802176064,8,54.81818181818183,endpoint_direct,False,False
methx40,0.9990108803165183,9,28.133333333333333,endpoint_direct,False,False
methx41,0.20431503461918893,24,50.55606984543352,endpoint_direct,False,False
methx42,0.9190776458951533,20,16.088238798438475,endpoint_direct,False,False
methx43,0.9910361028684471,15,24.195402298850574,endpoint_direct,False,False
methx44,0.9991963402571711,8,19.26923076923077,endpoint_direct,False,False
methx45,0.2022749752720079,25,50.407441014284714,endpoint_direct,False,False
methx46,0.9164812067260139,19,17.19691970282644,endpoint_direct,False,False
methx47,0.9909742828882295,16,23.837883797827114,endpoint_direct,False,False
methx48,0.999381800197824,5,19.788888888888888,endpoint_direct,False,False
methx49,0.1981948565776459,25,47.240273802786824,endpoint_direct,False,False
methx5,0.23089762611275966,24,48.51989444195897,endpoint_direct,False,False
methx50,0.917408506429278,19,19.235093857229362,endpoint_direct,False,False
methx51,0.9907888229475766,16,28.748684926537273,endpoint_direct,False,False
methx52,0.999381800197824,5,16.9,endpoint_direct,False,False
methx53,0.19584569732937684,26,48.306453966361744,endpoint_direct,False,False
methx54,0.9167903066271019,21,19.451836364941972,endpoint_direct,False,False
methx55,0.9911597428288823,17,30.483502413079876,endpoint_direct,False,False
methx56,0.9990108803165183,6,28.429166666666667,endpoint_direct,False,False
methx57,0.19362017804154302,25,48.11476670836819,endpoint_direct,False,False
methx58,0.9171612265084075,19,19.341845106060436,endpoint_direct,False,False
methx59,0.990727002967359,18,30.151275167785236,endpoint_direct,False,False
methx6,0.9227250247279921,19,19.147504243394714,endpoint_direct,False,False
methx60,0.9988872403560831,7,30.5,endpoint_direct,False,False
methx61,0.19096191889218594,25,48.3529437326641,endpoint_direct,False,False
methx62,0.9162957467853611,19,19.582941130874985,endpoint_direct,False,False
methx63,0.990727002967359,18,32.56841163310961,endpoint_direct,False,False
methx64,0.9989490603363007,7,28.470588235294116,endpoint_direct,False,False
methx65,0.18719090009891196,24,49.0492736540769,endpoint_direct,False,False
methx66,0.9154920870425322,19,21.353735456445115,endpoint_direct,False,False
methx67,0.9905415430267063,16,25.59829721362229,endpoint_direct,False,False
methx68,0.9990727002967359,7,30.885714285714283,endpoint_direct,False,False
methx69,0.18311078140454995,25,49.82788639585167,endpoint_direct,False,False
methx7,0.9918397626112759,15,27.638387693731207,endpoint_direct,False,False
methx70,0.9130192878338279,19,20.86786854186697,endpoint_direct,False,False
methx71,0.9908506429277942,16,29.106591285162715,endpoint_direct,False,False
methx72,0.9993199802176064,6,24.618181818181817,endpoint_direct,False,False
methx73,0.17989614243323443,24,48.84741187436812,endpoint_direct,False,False
methx74,0.9125865479723047,20,21.245883096043904,endpoint_direct,False,False
methx75,0.9906651829871415,17,26.476644591611482,endpoint_direct,False,False
methx76,0.9989490603363007,9,35.50735294117648,endpoint_direct,False,False
methx77,0.1769287833827893,24,48.85172308342552,endpoint_direct,False,False
methx78,0.9138229475766568,19,21.58738610041394,endpoint_direct,False,False
methx79,0.9904797230464887,17,31.751464222052462,endpoint_direct,False,False
methx8,0.9995054401582592,5,34.285714285714285,endpoint_direct,False,False
methx80,0.9991345202769535,8,15.362637362637361,endpoint_direct,False,False
methx81,0.17457962413452027,25,49.22702032785889,endpoint_direct,False,False
methx82,0.9140084075173096,19,21.54403281113427,endpoint_direct,False,False
methx83,0.9902324431256182,16,27.13859550108845,endpoint_direct,False,False
methx84,0.9991345202769535,6,23.956043956043956,endpoint_direct,False,False
methx85,0.17167408506429277,24,49.011892325950754,endpoint_direct,False,False
methx86,0.9116592482690405,20,22.08476770694282,endpoint_direct,False,False
methx87,0.9902324431256182,17,23.861001370636135,endpoint_direct,False,False
methx88,0.9990108803165183,7,26.516666666666666,endpoint_direct,False,False
methx89,0.16901582591493572,24,48.19860396344305,endpoint_direct,False,False
methx9,0.22830118694362017,23,49.97323632051142,endpoint_direct,False,False
methx90,0.9136993076162215,19,20.549179427139496,endpoint_direct,False,False
methx91,0.9906651829871415,16,23.04980132450331,endpoint_direct,False,False
methx92,0.9990727002967359,7,29.714285714285715,endpoint_direct,False,False
methx93,0.16666666666666666,24,47.71110087611833,endpoint_direct,False,False
methx94,0.912215628090999,19,20.99053290851522,endpoint_direct,False,False
methx95,0.990417903066271,16,22.237285295349814,endpoint_direct,False,False
methx96,0.9992581602373887,6,15.181818181818182,endpoint_direct,False,False
methx97,0.16357566765578635,25,45.42895776650602,endpoint_direct,False,False
methx98,0.9103610286844708,20,20.299869589015017,endpoint_direct,False,False
methx99,0.9894906033630069,17,24.229864253393668,endpoint_direct,False,False
metro,0.0,3,0.4866765884390713,,True,False
mnyfster,0.9588278931750742,17,121.12319763372393,,False,False
mornpill,0.14113501483679525,4,2.749428320671156,,True,False
mpill_12,0.12067260138476756,2,0.5290879717866948,,True,False
nonbiokids,0.0,3,0.09700319285387783,,True,False
nosex12,0.0,14,1038.125061476005,,True,True
nosex12_i,0.0,3,0.004314809124361544,,True,False
nosex36,0.0,2,0.21689012821865208,,True,False
nothrkid,0.8963897131552918,16,2.2437032023652623,,True,False
numchild,0.0,5,1.1558908115826372,,True,False
oppsexany,0.0014218595450049456,3,1.6717296314615557,,True,False
oppsexgen,0.0014218595450049456,3,1.7412608756404326,,True,False
otherkid,0.10781404549950543,3,1.6448750416962374,,True,False
othrmeth01,0.0014218595450049456,15,1136.396095846347,endpoint_direct,False,False
othrmeth02,0.9616097922848664,11,9.539177185600748,endpoint_direct,False,False
othrmeth03,0.990417903066271,9,3.769836614997905,endpoint_direct,False,False
othrmeth04,0.9974035608308606,10,5.344947735191638,endpoint_direct,False,False
othrmeth05,0.999381800197824,4,1.1555555555555557,endpoint_direct,False,False
othrmeth06,0.9997527200791295,3,0.6666666666666666,endpoint_direct,False,False
p1yeduc,0.7976013847675568,8,2.5011194682395215,,True,False
p1yeduc2,0.9895524233432246,7,4.1580022541561,,False,False
p1yeduc3,0.9970326409495549,7,5.701684397163121,,False,False
p1yfsex_m,0.3416790306627102,19,329.20505330990886,,True,True
p1yfsex_m2,0.8819856577645895,19,571.4535341255644,,True,False
p1yfsex_m3,0.9545004945598418,19,697.153724859509,,False,False
p1yfsex_y,0.3511993076162216,37,976385.2786528985,,True,True
p1yfsex_y2,0.888044015825915,31,834737.6165391972,,True,False
p1yfsex_y3,0.9567260138476755,29,2200129.234416513,,False,False
p1yhsage,0.3499010880316518,61,126.39846023187366,,True,False
p1yhsage2,0.8823565776458951,49,265.3124940254278,,True,False
p1yhsage3,0.9545623145400594,45,377.64442343694975,,False,False
p1ylsex_m,0.34068991097922846,18,89.45088763400413,,True,False
p1ylsex_m2,0.8820474777448071,18,88.63794318405434,,True,False
p1ylsex_m3,0.9545623145400594,18,238.28620363676805,,False,False
p1ylsex_y,0.34068991097922846,30,297521.59563136206,,True,True
p1ylsex_y2,0.8820474777448071,15,332600.63978429907,,True,False
p1ylsex_y3,0.9545623145400594,14,1442700.4242821925,,False,False
p1yrage,0.341555390702275,42,65.52991264017618,,True,False
p1yrage2,0.8819856577645895,36,77.04996688970813,,True,False
p1yrage3,0.9545004945598418,36,178.88991237799468,,False,False
parage14,0.0,3,0.8087631417621004,,True,False
parage14_i,0.0,3,0.0019771233586651925,,True,False
