variable,source,block,missing_rate
SEX1MTHD1_I,female_respondent,contraception_sexual,0.0
SEX1MTHD2_I,female_respondent,contraception_sexual,0.0
SEX1MTHD3_I,female_respondent,contraception_sexual,0.0
SEX1MTHD4_I,female_respondent,contraception_sexual,0.0
METH12M1,female_respondent,contraception_sexual,0.3251
METH12M2,female_respondent,contraception_sexual,0.9191
METH12M3,female_respondent,contraception_sexual,0.9921
METH12M1_I,female_respondent,contraception_sexual,0.0
METH12M2_I,female_respondent,contraception_sexual,0.0
METH12M3_I,female_respondent,contraception_sexual,0.0
METH12M4_I,female_respondent,contraception_sexual,0.0
METH3M1,female_respondent,contraception_sexual,0.4069
METH3M2,female_respondent,contraception_sexual,0.9314
METH3M3,female_respondent,contraception_sexual,0.993
METH3M1_I,female_respondent,contraception_sexual,0.0
METH3M2_I,female_respondent,contraception_sexual,0.0
METH3M3_I,female_respondent,contraception_sexual,0.0
METH3M4_I,female_respondent,contraception_sexual,0.0
MAROUT1,female_respondent,partnership_marriage,0.4569
MAROUT2,female_respondent,partnership_marriage,0.5967
MAROUT3,female_respondent,partnership_marriage,0.8015
MAROUT4,female_respondent,partnership_marriage,0.8958
MAROUT5,female_respondent,partnership_marriage,0.9493
MAROUT6,female_respondent,partnership_marriage,0.9735
MAROUT7,female_respondent,partnership_marriage,0.9875
MARCON1,female_respondent,partnership_marriage,0.4493
MARCON2,female_respondent,partnership_marriage,0.5879
MARCON3,female_respondent,partnership_marriage,0.7956
MARCON4,female_respondent,partnership_marriage,0.8922
MARCON5,female_respondent,partnership_marriage,0.9472
MARCON6,female_respondent,partnership_marriage,0.9717
MARCON7,female_respondent,partnership_marriage,0.9869
MARCON8,female_respondent,partnership_marriage,0.9948
CURR_INS,female_respondent,demographics_social,0.0
CURR_INS_I,female_respondent,demographics_social,0.0
RELIGION,female_respondent,demographics_social,0.0
RELIGION_I,female_respondent,demographics_social,0.0
LABORFOR,female_respondent,demographics_social,0.0
LABORFOR_I,female_respondent,demographics_social,0.0
POVERTY,female_respondent,demographics_social,0.0
POVERTY_I,female_respondent,demographics_social,0.0
METRO,female_respondent,demographics_social,0.0
WGT2022_2023,female_respondent,id_design,0.0
VEST,female_respondent,id_design,0.0
VECL,female_respondent,id_design,0.0
QUARTER,female_respondent,fertility_services_art,0.0
preg_n_records,female_pregnancy_aggregate,pregnancy_record_count,0.0
preg_OUTCOME_code_1_n,female_pregnancy_aggregate,pregnancy_OUTCOME,0.0
preg_OUTCOME_code_2_n,female_pregnancy_aggregate,pregnancy_OUTCOME,0.0
preg_OUTCOME_code_3_n,female_pregnancy_aggregate,pregnancy_OUTCOME,0.0
preg_OUTCOME_code_4_n,female_pregnancy_aggregate,pregnancy_OUTCOME,0.0
preg_OUTCOME_code_5_n,female_pregnancy_aggregate,pregnancy_OUTCOME,0.0
preg_OUTCOME_code_6_n,female_pregnancy_aggregate,pregnancy_OUTCOME,0.0
preg_BORNALIV_code_1_n,female_pregnancy_aggregate,pregnancy_BORNALIV,0.0
preg_BORNALIV_code_2_n,female_pregnancy_aggregate,pregnancy_BORNALIV,0.0
preg_RECNT5YRPRG_code_1_n,female_pregnancy_aggregate,pregnancy_RECNT5YRPRG,0.0
preg_RECNT5YRPRG_code_5_n,female_pregnancy_aggregate,pregnancy_RECNT5YRPRG,0.0
preg_EVUSEINT_code_1_n,female_pregnancy_aggregate,pregnancy_EVUSEINT,0.0
preg_EVUSEINT_code_5_n,female_pregnancy_aggregate,pregnancy_EVUSEINT,0.0
preg_EVUSEINT_code_8_n,female_pregnancy_aggregate,pregnancy_EVUSEINT,0.0
preg_EVUSEINT_code_9_n,female_pregnancy_aggregate,pregnancy_EVUSEINT,0.0
preg_STOPDUSE_code_1_n,female_pregnancy_aggregate,pregnancy_STOPDUSE,0.0
preg_STOPDUSE_code_5_n,female_pregnancy_aggregate,pregnancy_STOPDUSE,0.0
preg_STOPDUSE_code_8_n,female_pregnancy_aggregate,pregnancy_STOPDUSE,0.0
preg_STOPDUSE_code_9_n,female_pregnancy_aggregate,pregnancy_STOPDUSE,0.0
preg_WANTBOLD_code_1_n,female_pregnancy_aggregate,pregnancy_WANTBOLD,0.0
preg_WANTBOLD_code_5_n,female_pregnancy_aggregate,pregnancy_WANTBOLD,0.0
preg_WANTBOLD_code_6_n,female_pregnancy_aggregate,pregnancy_WANTBOLD,0.0
preg_WANTBOLD_code_98_n,female_pregnancy_aggregate,pregnancy_WANTBOLD,0.0
preg_WANTBOLD_code_99_n,female_pregnancy_aggregate,pregnancy_WANTBOLD,0.0
preg_TIMINGOK_code_1_n,female_pregnancy_aggregate,pregnancy_TIMINGOK,0.0
preg_TIMINGOK_code_2_n,female_pregnancy_aggregate,pregnancy_TIMINGOK,0.0
preg_TIMINGOK_code_3_n,female_pregnancy_aggregate,pregnancy_TIMINGOK,0.0
preg_TIMINGOK_code_4_n,female_pregnancy_aggregate,pregnancy_TIMINGOK,0.0
preg_TIMINGOK_code_8_n,female_pregnancy_aggregate,pregnancy_TIMINGOK,0.0
preg_TIMINGOK_code_9_n,female_pregnancy_aggregate,pregnancy_TIMINGOK,0.0
preg_NEWWANTR_code_1_n,female_pregnancy_aggregate,pregnancy_NEWWANTR,0.0
preg_NEWWANTR_code_2_n,female_pregnancy_aggregate,pregnancy_NEWWANTR,0.0
preg_NEWWANTR_code_3_n,female_pregnancy_aggregate,pregnancy_NEWWANTR,0.0
preg_NEWWANTR_code_4_n,female_pregnancy_aggregate,pregnancy_NEWWANTR,0.0
preg_NEWWANTR_code_5_n,female_pregnancy_aggregate,pregnancy_NEWWANTR,0.0
preg_NEWWANTR_code_6_n,female_pregnancy_aggregate,pregnancy_NEWWANTR,0.0
preg_NEWWANTR_code_7_n,female_pregnancy_aggregate,pregnancy_NEWWANTR,0.0
preg_wantresp_code_1_n,female_pregnancy_aggregate,pregnancy_wantresp,0.0
preg_wantresp_code_2_n,female_pregnancy_aggregate,pregnancy_wantresp,0.0
preg_wantresp_code_3_n,female_pregnancy_aggregate,pregnancy_wantresp,0.0
preg_wantresp_code_4_n,female_pregnancy_aggregate,pregnancy_wantresp,0.0
preg_wantresp_code_5_n,female_pregnancy_aggregate,pregnancy_wantresp,0.0
preg_wantresp_code_6_n,female_pregnancy_aggregate,pregnancy_wantresp,0.0
preg_WANTPART_code_1_n,female_pregnancy_aggregate,pregnancy_WANTPART,0.0
preg_WANTPART_code_2_n,female_pregnancy_aggregate,pregnancy_WANTPART,0.0
preg_WANTPART_code_3_n,female_pregnancy_aggregate,pregnancy_WANTPART,0.0
preg_WANTPART_code_4_n,female_pregnancy_aggregate,pregnancy_WANTPART,0.0
preg_WANTPART_code_5_n,female_pregnancy_aggregate,pregnancy_WANTPART,0.0
preg_WANTPART_code_6_n,female_pregnancy_aggregate,pregnancy_WANTPART,0.0
preg_PRIORSMK_code_0_n,female_pregnancy_aggregate,pregnancy_PRIORSMK,0.0
preg_PRIORSMK_code_1_n,female_pregnancy_aggregate,pregnancy_PRIORSMK,0.0
preg_PRIORSMK_code_2_n,female_pregnancy_aggregate,pregnancy_PRIORSMK,0.0
preg_PRIORSMK_code_3_n,female_pregnancy_aggregate,pregnancy_PRIORSMK,0.0
preg_PRIORSMK_code_4_n,female_pregnancy_aggregate,pregnancy_PRIORSMK,0.0
preg_PRIORSMK_code_5_n,female_pregnancy_aggregate,pregnancy_PRIORSMK,0.0
preg_PRIORSMK_code_6_n,female_pregnancy_aggregate,pregnancy_PRIORSMK,0.0
preg_PRIORSMK_code_8_n,female_pregnancy_aggregate,pregnancy_PRIORSMK,0.0
preg_POSTSMKS_code_1_n,female_pregnancy_aggregate,pregnancy_POSTSMKS,0.0
preg_POSTSMKS_code_5_n,female_pregnancy_aggregate,pregnancy_POSTSMKS,0.0
preg_POSTSMKS_code_8_n,female_pregnancy_aggregate,pregnancy_POSTSMKS,0.0
preg_GETPRENA_code_1_n,female_pregnancy_aggregate,pregnancy_GETPRENA,0.0
preg_GETPRENA_code_5_n,female_pregnancy_aggregate,pregnancy_GETPRENA,0.0
preg_GETPRENA_code_8_n,female_pregnancy_aggregate,pregnancy_GETPRENA,0.0
preg_GETPRENA_code_9_n,female_pregnancy_aggregate,pregnancy_GETPRENA,0.0
preg_BGNPRENA_code_1_n,female_pregnancy_aggregate,pregnancy_BGNPRENA,0.0
preg_BGNPRENA_code_2_n,female_pregnancy_aggregate,pregnancy_BGNPRENA,0.0
preg_BGNPRENA_code_3_n,female_pregnancy_aggregate,pregnancy_BGNPRENA,0.0
preg_BGNPRENA_code_9_n,female_pregnancy_aggregate,pregnancy_BGNPRENA,0.0
preg_GEST_LB_code_1_n,female_pregnancy_aggregate,pregnancy_GEST_LB,0.0
preg_GEST_LB_code_2_n,female_pregnancy_aggregate,pregnancy_GEST_LB,0.0
preg_GEST_LB_code_3_n,female_pregnancy_aggregate,pregnancy_GEST_LB,0.0
preg_GEST_LB_code_4_n,female_pregnancy_aggregate,pregnancy_GEST_LB,0.0
preg_GEST_OTHR_code_1_n,female_pregnancy_aggregate,pregnancy_GEST_OTHR,0.0
preg_GEST_OTHR_code_2_n,female_pregnancy_aggregate,pregnancy_GEST_OTHR,0.0
preg_GEST_OTHR_code_3_n,female_pregnancy_aggregate,pregnancy_GEST_OTHR,0.0
preg_GestImp_code_1_n,female_pregnancy_aggregate,pregnancy_GestImp,0.0
preg_GestImp_code_2_n,female_pregnancy_aggregate,pregnancy_GestImp,0.0
preg_BIRTHWGT_code_1_n,female_pregnancy_aggregate,pregnancy_BIRTHWGT,0.0
preg_BIRTHWGT_code_2_n,female_pregnancy_aggregate,pregnancy_BIRTHWGT,0.0
preg_BIRTHWGT_code_8_n,female_pregnancy_aggregate,pregnancy_BIRTHWGT,0.0
preg_BIRTHWGT_code_9_n,female_pregnancy_aggregate,pregnancy_BIRTHWGT,0.0
preg_PREGORDR_min,female_pregnancy_aggregate,pregnancy_PREGORDR,0.0
preg_PREGORDR_max,female_pregnancy_aggregate,pregnancy_PREGORDR,0.0
preg_PREGORDR_mean,female_pregnancy_aggregate,pregnancy_PREGORDR,0.0
preg_agepreg_min,female_pregnancy_aggregate,pregnancy_agepreg,0.0137
preg_agepreg_max,female_pregnancy_aggregate,pregnancy_agepreg,0.0137
preg_agepreg_mean,female_pregnancy_aggregate,pregnancy_agepreg,0.0137
preg_agecon_min,female_pregnancy_aggregate,pregnancy_agecon,0.0
preg_agecon_max,female_pregnancy_aggregate,pregnancy_agecon,0.0
preg_agecon_mean,female_pregnancy_aggregate,pregnancy_agecon,0.0
preg_KIDAGE_min,female_pregnancy_aggregate,pregnancy_KIDAGE,0.107
preg_KIDAGE_max,female_pregnancy_aggregate,pregnancy_KIDAGE,0.107
preg_KIDAGE_mean,female_pregnancy_aggregate,pregnancy_KIDAGE,0.107
preg_BFEEDWKS_min,female_pregnancy_aggregate,pregnancy_BFEEDWKS,0.5894
preg_BFEEDWKS_max,female_pregnancy_aggregate,pregnancy_BFEEDWKS,0.5894
preg_BFEEDWKS_mean,female_pregnancy_aggregate,pregnancy_BFEEDWKS,0.5894
has_pregnancy_record,derived,pregnancy_record_count,0.0
