variable,source,block,missing_rate
CMLSEX2,female_respondent,contraception_sexual,0.9162
P1YLSEX_M3,female_respondent,contraception_sexual,0.9628
P1YLSEX_Y3,female_respondent,contraception_sexual,0.9628
CMLSEX3,female_respondent,contraception_sexual,0.9617
P1YRAGE,female_respondent,demographics_social,0.4058
P1YHSAGE,female_respondent,demographics_social,0.4082
P1YFSEX_M,female_respondent,contraception_sexual,0.4058
P1YFSEX_Y,female_respondent,contraception_sexual,0.4245
CMFSEX,female_respondent,contraception_sexual,0.4058
CMFSEXTOT,female_respondent,contraception_sexual,0.4058
P1YEDUC,female_respondent,demographics_social,0.8485
P1YRAGE2,female_respondent,demographics_social,0.92
P1YHSAGE2,female_respondent,demographics_social,0.92
P1YFSEX_M2,female_respondent,contraception_sexual,0.92
P1YFSEX_Y2,female_respondent,contraception_sexual,0.9289
CMFSEX2,female_respondent,contraception_sexual,0.92
CMFSEXTOT2,female_respondent,contraception_sexual,0.92
P1YEDUC2,female_respondent,demographics_social,0.9891
P1YRAGE3,female_respondent,demographics_social,0.9628
P1YHSAGE3,female_respondent,demographics_social,0.9628
P1YFSEX_M3,female_respondent,contraception_sexual,0.9628
P1YFSEX_Y3,female_respondent,contraception_sexual,0.9678
CMFSEX3,female_respondent,contraception_sexual,0.9628
CMFSEXTOT3,female_respondent,contraception_sexual,0.9628
OTHSTER,female_respondent,contraception_sexual,0.9896
ANYFSTER,female_respondent,contraception_sexual,0.0
PREGNONO,female_respondent,reproductive_timing,0.1176
TRYPREG12,female_respondent,reproductive_timing,0.2873
PILL,female_respondent,contraception_sexual,0.0002
MORNPILL,female_respondent,contraception_sexual,0.1849
IUD,female_respondent,contraception_sexual,0.0002
EVIUDTYP1,female_respondent,contraception_sexual,0.7988
EVIUDTYP2,female_respondent,contraception_sexual,0.9873
EVCIUDEC,female_respondent,contraception_sexual,0.9407
OTHRMETH01,female_respondent,contraception_sexual,0.0002
OTHRMETH02,female_respondent,contraception_sexual,0.9773
OTHRMETH03,female_respondent,contraception_sexual,0.9928
METHDISS,female_respondent,contraception_sexual,0.1366
METHSTOP01,female_respondent,contraception_sexual,0.7114
METHSTOP02,female_respondent,contraception_sexual,0.8758
METHSTOP03,female_respondent,contraception_sexual,0.9531
METHSTOP04,female_respondent,contraception_sexual,0.9805
METHSTOP05,female_respondent,contraception_sexual,0.9934
WHENPILL,female_respondent,contraception_sexual,0.8192
REASPILL01,female_respondent,contraception_sexual,0.8192
REASPILL02,female_respondent,contraception_sexual,0.9177
REASPILL03,female_respondent,contraception_sexual,0.9694
REASPILL04,female_respondent,contraception_sexual,0.9905
WHENIUD,female_respondent,contraception_sexual,0.9529
TYPEIUD_1,female_respondent,contraception_sexual,0.9529
REASIUD01,female_respondent,contraception_sexual,0.9529
REASIUD02,female_respondent,contraception_sexual,0.9787
REASIUD03,female_respondent,contraception_sexual,0.9912
FIRSMETH1,female_respondent,contraception_sexual,0.1475
FIRSMETH2,female_respondent,contraception_sexual,0.7732
FIRSMETH3,female_respondent,contraception_sexual,0.9307
FIRSMETH4,female_respondent,contraception_sexual,0.9769
AGEFSTUS,female_respondent,demographics_social,0.9735
CURRMETH1,female_respondent,contraception_sexual,0.1509
CURRMETH2,female_respondent,contraception_sexual,0.8745
CURRMETH3,female_respondent,contraception_sexual,0.9697
CURRMETH4,female_respondent,contraception_sexual,0.9932
LSTMONMETH1,female_respondent,contraception_sexual,0.1509
LSTMONMETH2,female_respondent,contraception_sexual,0.8625
LSTMONMETH3,female_respondent,contraception_sexual,0.964
LSTMONMETH4,female_respondent,contraception_sexual,0.9914
PILL_12,female_respondent,contraception_sexual,0.1475
IUD_12,female_respondent,contraception_sexual,0.1475
MPILL_12,female_respondent,contraception_sexual,0.1475
METHX1,female_respondent,contraception_sexual,0.2256
METHX2,female_respondent,contraception_sexual,0.8729
METHX3,female_respondent,contraception_sexual,0.9681
METHX4,female_respondent,contraception_sexual,0.9916
METHX5,female_respondent,contraception_sexual,0.224
METHX6,female_respondent,contraception_sexual,0.8806
METHX7,female_respondent,contraception_sexual,0.9714
METHX8,female_respondent,contraception_sexual,0.9939
METHX9,female_respondent,contraception_sexual,0.2223
METHX10,female_respondent,contraception_sexual,0.881
METHX11,female_respondent,contraception_sexual,0.9714
METHX12,female_respondent,contraception_sexual,0.9941
METHX13,female_respondent,contraception_sexual,0.2202
METHX14,female_respondent,contraception_sexual,0.8844
METHX15,female_respondent,contraception_sexual,0.9723
METHX16,female_respondent,contraception_sexual,0.9946
METHX17,female_respondent,contraception_sexual,0.2175
METHX18,female_respondent,contraception_sexual,0.8811
METHX19,female_respondent,contraception_sexual,0.9717
METHX20,female_respondent,contraception_sexual,0.9941
METHX21,female_respondent,contraception_sexual,0.215
METHX22,female_respondent,contraception_sexual,0.8811
METHX23,female_respondent,contraception_sexual,0.9728
METHX24,female_respondent,contraception_sexual,0.9941
METHX25,female_respondent,contraception_sexual,0.2125
METHX26,female_respondent,contraception_sexual,0.8799
METHX27,female_respondent,contraception_sexual,0.9715
METHX28,female_respondent,contraception_sexual,0.9939
METHX29,female_respondent,contraception_sexual,0.2109
METHX30,female_respondent,contraception_sexual,0.8824
METHX31,female_respondent,contraception_sexual,0.973
METHX32,female_respondent,contraception_sexual,0.9937
METHX33,female_respondent,contraception_sexual,0.2093
METHX34,female_respondent,contraception_sexual,0.8801
METHX35,female_respondent,contraception_sexual,0.9726
METHX36,female_respondent,contraception_sexual,0.9932
METHX37,female_respondent,contraception_sexual,0.2075
METHX38,female_respondent,contraception_sexual,0.8806
METHX39,female_respondent,contraception_sexual,0.9724
METHX40,female_respondent,contraception_sexual,0.9936
METHX41,female_respondent,contraception_sexual,0.2057
METHX42,female_respondent,contraception_sexual,0.8795
METHX43,female_respondent,contraception_sexual,0.9712
METHX44,female_respondent,contraception_sexual,0.9928
METHX45,female_respondent,contraception_sexual,0.2048
METHX46,female_respondent,contraception_sexual,0.8792
METHX47,female_respondent,contraception_sexual,0.9708
METHX48,female_respondent,contraception_sexual,0.9936
METHX49,female_respondent,contraception_sexual,0.2034
METHX50,female_respondent,contraception_sexual,0.8786
METHX51,female_respondent,contraception_sexual,0.969
METHX52,female_respondent,contraception_sexual,0.9932
METHX53,female_respondent,contraception_sexual,0.2021
METHX54,female_respondent,contraception_sexual,0.8826
METHX55,female_respondent,contraception_sexual,0.9719
METHX56,female_respondent,contraception_sexual,0.9943
METHX57,female_respondent,contraception_sexual,0.2014
METHX58,female_respondent,contraception_sexual,0.8815
METHX59,female_respondent,contraception_sexual,0.9715
METHX60,female_respondent,contraception_sexual,0.9945
METHX61,female_respondent,contraception_sexual,0.1987
METHX62,female_respondent,contraception_sexual,0.8829
METHX63,female_respondent,contraception_sexual,0.9714
METHX64,female_respondent,contraception_sexual,0.9941
METHX65,female_respondent,contraception_sexual,0.1976
METHX66,female_respondent,contraception_sexual,0.8836
METHX67,female_respondent,contraception_sexual,0.9714
METHX68,female_respondent,contraception_sexual,0.9941
METHX69,female_respondent,contraception_sexual,0.1944
METHX70,female_respondent,contraception_sexual,0.8806
METHX71,female_respondent,contraception_sexual,0.971
METHX72,female_respondent,contraception_sexual,0.9932
METHX73,female_respondent,contraception_sexual,0.1924
METHX74,female_respondent,contraception_sexual,0.877
METHX75,female_respondent,contraception_sexual,0.9699
METHX76,female_respondent,contraception_sexual,0.9943
METHX77,female_respondent,contraception_sexual,0.191
METHX78,female_respondent,contraception_sexual,0.879
METHX79,female_respondent,contraception_sexual,0.9687
METHX80,female_respondent,contraception_sexual,0.9927
METHX81,female_respondent,contraception_sexual,0.1898
METHX82,female_respondent,contraception_sexual,0.8795
METHX83,female_respondent,contraception_sexual,0.9687
METHX84,female_respondent,contraception_sexual,0.9932
METHX85,female_respondent,contraception_sexual,0.188
METHX86,female_respondent,contraception_sexual,0.8793
METHX87,female_respondent,contraception_sexual,0.969
METHX88,female_respondent,contraception_sexual,0.9919
METHX89,female_respondent,contraception_sexual,0.1869
METHX90,female_respondent,contraception_sexual,0.8774
METHX91,female_respondent,contraception_sexual,0.9701
METHX92,female_respondent,contraception_sexual,0.9936
METHX93,female_respondent,contraception_sexual,0.1846
METHX94,female_respondent,contraception_sexual,0.8781
METHX95,female_respondent,contraception_sexual,0.9714
METHX96,female_respondent,contraception_sexual,0.9934
METHX97,female_respondent,contraception_sexual,0.1824
METHX98,female_respondent,contraception_sexual,0.8793
METHX99,female_respondent,contraception_sexual,0.9715
METHX100,female_respondent,contraception_sexual,0.9928
METHX101,female_respondent,contraception_sexual,0.1812
METHX102,female_respondent,contraception_sexual,0.8801
METHX103,female_respondent,contraception_sexual,0.9717
METHX104,female_respondent,contraception_sexual,0.9932
METHX105,female_respondent,contraception_sexual,0.1799
METHX106,female_respondent,contraception_sexual,0.8808
METHX107,female_respondent,contraception_sexual,0.9719
METHX108,female_respondent,contraception_sexual,0.9923
METHX109,female_respondent,contraception_sexual,0.177
METHX110,female_respondent,contraception_sexual,0.8811
METHX111,female_respondent,contraception_sexual,0.9723
METHX112,female_respondent,contraception_sexual,0.9927
METHX113,female_respondent,contraception_sexual,0.1751
METHX114,female_respondent,contraception_sexual,0.881
METHX115,female_respondent,contraception_sexual,0.969
METHX116,female_respondent,contraception_sexual,0.993
METHX117,female_respondent,contraception_sexual,0.1738
METHX118,female_respondent,contraception_sexual,0.8784
METHX119,female_respondent,contraception_sexual,0.9697
METHX120,female_respondent,contraception_sexual,0.9925
METHX121,female_respondent,contraception_sexual,0.1717
METHX122,female_respondent,contraception_sexual,0.8802
METHX123,female_respondent,contraception_sexual,0.9706
METHX124,female_respondent,contraception_sexual,0.9925
METHX125,female_respondent,contraception_sexual,0.1681
METHX126,female_respondent,contraception_sexual,0.8806
METHX127,female_respondent,contraception_sexual,0.9717
METHX128,female_respondent,contraception_sexual,0.9927
METHX129,female_respondent,contraception_sexual,0.166
METHX130,female_respondent,contraception_sexual,0.8801
METHX131,female_respondent,contraception_sexual,0.9714
METHX132,female_respondent,contraception_sexual,0.9936
METHX133,female_respondent,contraception_sexual,0.1629
METHX134,female_respondent,contraception_sexual,0.8749
METHX135,female_respondent,contraception_sexual,0.9715
METHX136,female_respondent,contraception_sexual,0.993
METHX137,female_respondent,contraception_sexual,0.1613
METHX138,female_respondent,contraception_sexual,0.8763
METHX139,female_respondent,contraception_sexual,0.9692
METHX140,female_respondent,contraception_sexual,0.9927
METHX141,female_respondent,contraception_sexual,0.1597
METHX142,female_respondent,contraception_sexual,0.8736
METHX143,female_respondent,contraception_sexual,0.9685
METHX144,female_respondent,contraception_sexual,0.9927
METHX145,female_respondent,contraception_sexual,0.1572
METHX146,female_respondent,contraception_sexual,0.8636
METHX147,female_respondent,contraception_sexual,0.9653
METHX148,female_respondent,contraception_sexual,0.9916
METHX149,female_respondent,contraception_sexual,0.2571
METHX150,female_respondent,contraception_sexual,0.8847
METHX151,female_respondent,contraception_sexual,0.9717
METHX152,female_respondent,contraception_sexual,0.9937
METHX153,female_respondent,contraception_sexual,0.3029
METHX154,female_respondent,contraception_sexual,0.8906
METHX155,female_respondent,contraception_sexual,0.9735
METHX156,female_respondent,contraception_sexual,0.9943
METHX157,female_respondent,contraception_sexual,0.3276
METHX158,female_respondent,contraception_sexual,0.8989
METHX159,female_respondent,contraception_sexual,0.976
METHX160,female_respondent,contraception_sexual,0.9948
METHX161,female_respondent,contraception_sexual,0.4635
METHX162,female_respondent,contraception_sexual,0.9193
METHX163,female_respondent,contraception_sexual,0.9823
METHX164,female_respondent,contraception_sexual,0.9946
METHX165,female_respondent,contraception_sexual,0.5043
METHX166,female_respondent,contraception_sexual,0.9227
METHX167,female_respondent,contraception_sexual,0.983
METHX169,female_respondent,contraception_sexual,0.5752
METHX170,female_respondent,contraception_sexual,0.9338
METHX171,female_respondent,contraception_sexual,0.9846
METHX173,female_respondent,contraception_sexual,0.6856
METHX174,female_respondent,contraception_sexual,0.9501
METHX175,female_respondent,contraception_sexual,0.9878
METHX177,female_respondent,contraception_sexual,0.7338
METHX178,female_respondent,contraception_sexual,0.957
METHX179,female_respondent,contraception_sexual,0.9889
METHX181,female_respondent,contraception_sexual,0.8443
METHX182,female_respondent,contraception_sexual,0.9739
METHX183,female_respondent,contraception_sexual,0.9934
METHX185,female_respondent,contraception_sexual,0.9305
METHX186,female_respondent,contraception_sexual,0.9893
