analysis_set,endpoint,feature_set,train_events,train_n,test_events,test_n,baseline_prevalence,auprc,auprc_enrichment,auroc,delta_auprc_vs_minimal,delta_auprc_vs_raw48
full analytic cohort,impaired_fecundity_status,Age + parity + ever-pregnant,5361,21585,1367,4893,0.27937870427140815,0.42870520897210046,1.534494943306867,0.6892683715204141,0.0,-0.025915640743698787
full analytic cohort,impaired_fecundity_status,Raw 48 encoder inputs,5361,21585,1367,4893,0.27937870427140815,0.45462084971579925,1.6272566332548688,0.698053668412018,0.025915640743698787,0.0
full analytic cohort,impaired_fecundity_status,SSL embedding,5361,21585,1367,4893,0.27937870427140815,0.5285086861170477,1.891728603636221,0.7399329715384222,0.09980347714494725,0.07388783640124846
full analytic cohort,impaired_fecundity_status,Raw 48 + SSL,5361,21585,1367,4893,0.27937870427140815,0.5357475560493187,1.9176392039131793,0.7477687953756419,0.10704234707721821,0.08112670633351943
full analytic cohort,impaired_fecundity_status,Phenotype only,5361,21585,1367,4893,0.27937870427140815,0.33764131012305715,1.2085434750783604,0.609058489531834,-0.09106389884904331,-0.1169795395927421
full analytic cohort,impaired_fecundity_status,SSL + phenotype,5361,21585,1367,4893,0.27937870427140815,0.5271132246519173,1.8867337294965847,0.7394574570097108,0.09840801567981688,0.0724923749361181
ever-pregnant stratum,unintended_mistimed_pregnancy_history,Age + parity + ever-pregnant,10447,13006,1738,2525,0.6883168316831683,0.765843311447792,1.1126319685878452,0.5956531847352623,0.0,-0.06784542311843555
ever-pregnant stratum,unintended_mistimed_pregnancy_history,Raw 48 encoder inputs,10447,13006,1738,2525,0.6883168316831683,0.8336887345662276,1.21119911092044,0.7083029318485223,0.06784542311843555,0.0
ever-pregnant stratum,unintended_mistimed_pregnancy_history,SSL embedding,10447,13006,1738,2525,0.6883168316831683,0.8456681531345684,1.2286030418094278,0.7187247314312117,0.0798248416867764,0.011979418568340838
ever-pregnant stratum,unintended_mistimed_pregnancy_history,Raw 48 + SSL,10447,13006,1738,2525,0.6883168316831683,0.8698240563891333,1.2636972050532576,0.7651852675013855,0.10398074494134124,0.036135321822905686
ever-pregnant stratum,unintended_mistimed_pregnancy_history,Phenotype only,10447,13006,1738,2525,0.6883168316831683,0.6986812626046737,1.0150576456138096,0.5203201331182931,-0.06716204884311838,-0.13500747196155394
ever-pregnant stratum,unintended_mistimed_pregnancy_history,SSL + phenotype,10447,13006,1738,2525,0.6883168316831683,0.8452344941550873,1.2279730136602967,0.7179102884473383,0.07939118270729528,0.011545759588859728
ever-pregnant stratum,adverse_pregnancy_history_proxy,Age + parity + ever-pregnant,2202,13006,274,2525,0.10851485148514851,0.1577917224776741,1.4541025520296609,0.5905599133556213,0.0,-0.014871304066032737
ever-pregnant stratum,adverse_pregnancy_history_proxy,Raw 48 encoder inputs,2202,13006,274,2525,0.10851485148514851,0.17266302654370683,1.5911465037330648,0.6417926177173487,0.014871304066032737,0.0
ever-pregnant stratum,adverse_pregnancy_history_proxy,SSL embedding,2202,13006,274,2525,0.10851485148514851,0.19015059398184592,1.7523001817670107,0.6712685683897182,0.03235887150417183,0.01748756743813909
ever-pregnant stratum,adverse_pregnancy_history_proxy,Raw 48 + SSL,2202,13006,274,2525,0.10851485148514851,0.1833295594635328,1.6894421081949647,0.6671146967933149,0.02553783698585871,0.010666532919825972
ever-pregnant stratum,adverse_pregnancy_history_proxy,Phenotype only,2202,13006,274,2525,0.10851485148514851,0.1265248282960165,1.1659678519979622,0.5477322325519558,-0.031266894181657595,-0.04613819824769033
ever-pregnant stratum,adverse_pregnancy_history_proxy,SSL + phenotype,2202,13006,274,2525,0.10851485148514851,0.1924781664450418,1.7737495265464618,0.6692824275990882,0.0346864439673677,0.01981513990133496
