table,variable,themes
female_respondent,CURRMETH1,contraception_sexual
female_respondent,CURRMETH2,contraception_sexual
female_respondent,CURRMETH3,contraception_sexual
female_respondent,CURRMETH4,contraception_sexual
female_respondent,LSTMONMETH1,contraception_sexual
female_respondent,LSTMONMETH2,contraception_sexual
female_respondent,LSTMONMETH3,contraception_sexual
female_respondent,LSTMONMETH4,contraception_sexual
female_respondent,PILL_12,contraception_sexual
female_respondent,IUD_12,contraception_sexual
female_respondent,MPILL_12,contraception_sexual
female_respondent,METHX1,contraception_sexual
female_respondent,METHX2,contraception_sexual
female_respondent,METHX3,contraception_sexual
female_respondent,METHX4,contraception_sexual
female_respondent,METHX5,contraception_sexual
female_respondent,METHX6,contraception_sexual
female_respondent,METHX7,contraception_sexual
female_respondent,METHX8,contraception_sexual
female_respondent,METHX9,contraception_sexual
female_respondent,METHX10,contraception_sexual
female_respondent,METHX11,contraception_sexual
female_respondent,METHX12,contraception_sexual
female_respondent,METHX13,contraception_sexual
female_respondent,METHX14,contraception_sexual
female_respondent,METHX15,contraception_sexual
female_respondent,METHX16,contraception_sexual
female_respondent,METHX17,contraception_sexual
female_respondent,METHX18,contraception_sexual
female_respondent,METHX19,contraception_sexual
female_respondent,METHX20,contraception_sexual
female_respondent,METHX21,contraception_sexual
female_respondent,METHX22,contraception_sexual
female_respondent,METHX23,contraception_sexual
female_respondent,METHX24,contraception_sexual
female_respondent,METHX25,contraception_sexual
female_respondent,METHX26,contraception_sexual
female_respondent,METHX27,contraception_sexual
female_respondent,METHX28,contraception_sexual
female_respondent,METHX29,contraception_sexual
female_respondent,METHX30,contraception_sexual
female_respondent,METHX31,contraception_sexual
female_respondent,METHX32,contraception_sexual
female_respondent,METHX33,contraception_sexual
female_respondent,METHX34,contraception_sexual
female_respondent,METHX35,contraception_sexual
female_respondent,METHX36,contraception_sexual
female_respondent,METHX37,contraception_sexual
female_respondent,METHX38,contraception_sexual
female_respondent,METHX39,contraception_sexual
female_respondent,METHX40,contraception_sexual
female_respondent,METHX41,contraception_sexual
female_respondent,METHX42,contraception_sexual
female_respondent,METHX43,contraception_sexual
female_respondent,METHX44,contraception_sexual
female_respondent,METHX45,contraception_sexual
female_respondent,METHX46,contraception_sexual
female_respondent,METHX47,contraception_sexual
female_respondent,METHX48,contraception_sexual
female_respondent,METHX49,contraception_sexual
female_respondent,METHX50,contraception_sexual
female_respondent,METHX51,contraception_sexual
