analysis_set,method,endpoint,group,n,events,weighted_prevalence,baseline_weighted_prevalence,prevalence_ratio,risk_difference,group_share
full analytic cohort,Age x ever-pregnant strata,adverse_pregnancy_history_proxy,25-34 / no pregnancy record,800,0,0.0,0.05375458533071529,0.0,-0.05375458533071529,0.16349887594522788
full analytic cohort,Age x ever-pregnant strata,adverse_pregnancy_history_proxy,35-44 / ever pregnant,1313,151,0.11561089939198677,0.05375458533071529,2.1507169794113707,0.061856314061271477,0.26834253014510523
full analytic cohort,Age x ever-pregnant strata,adverse_pregnancy_history_proxy,35-44 / no pregnancy record,413,0,0.0,0.05375458533071529,0.0,-0.05375458533071529,0.0844062947067239
full analytic cohort,Age x ever-pregnant strata,impaired_fecundity_status,15-24 / ever pregnant,181,40,0.2232640420526836,0.2813104299924621,0.793657178152499,-0.05804638793977848,0.036991620682607806
full analytic cohort,Age x ever-pregnant strata,impaired_fecundity_status,15-24 / no pregnancy record,1155,130,0.11875162193642613,0.2813104299924621,0.42213728776287524,-0.16255880805603595,0.23605150214592274
full analytic cohort,Age x ever-pregnant strata,impaired_fecundity_status,25-34 / ever pregnant,1031,282,0.28836284014372465,0.2813104299924621,1.025069849530469,0.007052410151262567,0.21070917637441242
full analytic cohort,Age x ever-pregnant strata,impaired_fecundity_status,25-34 / no pregnancy record,800,172,0.21865543630461828,0.2813104299924621,0.7772745443902571,-0.0626549936878438,0.16349887594522788
full analytic cohort,Age x ever-pregnant strata,impaired_fecundity_status,35-44 / ever pregnant,1313,595,0.48003822011389613,0.2813104299924621,1.7064359118386017,0.19872779012143404,0.26834253014510523
full analytic cohort,Age x ever-pregnant strata,impaired_fecundity_status,35-44 / no pregnancy record,413,148,0.33479289799568424,0.2813104299924621,1.190119036840032,0.05348246800322215,0.0844062947067239
ever-pregnant stratum,SSL phenotype,unintended_mistimed_pregnancy_history,P0,73,51,0.7324366579998677,0.6840133299372122,1.0707929596446613,0.04842332806265548,0.028910891089108912
ever-pregnant stratum,SSL phenotype,unintended_mistimed_pregnancy_history,P1,2223,1506,0.6698091685394282,0.6840133299372122,0.9792340868575063,-0.014204161397784021,0.8803960396039604
ever-pregnant stratum,SSL phenotype,unintended_mistimed_pregnancy_history,P2,229,181,0.8003220796767584,0.6840133299372122,1.1700387180323262,0.11630874973954619,0.09069306930693069
ever-pregnant stratum,SSL phenotype,adverse_pregnancy_history_proxy,P0,73,7,0.15904189758259332,0.10748268949904073,1.479697785046705,0.05155920808355259,0.028910891089108912
ever-pregnant stratum,SSL phenotype,adverse_pregnancy_history_proxy,P1,2223,219,0.09224734023708428,0.10748268949904073,0.8582529955943052,-0.015235349261956452,0.8803960396039604
ever-pregnant stratum,SSL phenotype,adverse_pregnancy_history_proxy,P2,229,48,0.2323669656929976,0.10748268949904073,2.161901295697215,0.12488427619395688,0.09069306930693069
ever-pregnant stratum,Age x parity strata,unintended_mistimed_pregnancy_history,15-24 / parity 0,50,41,0.8250655088141666,0.6840133299372122,1.206212617069761,0.14105217887695443,0.019801980198019802
